Date,Description,Amount
2024-12-14,Movie ticket,-2308
2025-02-23,House rent,-8124
2024-11-17,House rent,-13523
2025-02-09,Freelance payment,28866
2024-11-24,Salary credit,30666
2024-12-01,Salary credit,28394
2025-01-07,House rent,-10266
2025-02-18,House rent,-11066
2024-12-17,House rent,-9405
2024-12-18,Mobile recharge,-1594
2024-12-21,Freelance payment,33449
2025-01-12,Clothing store,-2702
2025-02-15,Concert pass,-499
2024-12-14,Netflix subscription,-2492
2024-11-11,House rent,-12408
2024-11-14,Concert pass,-1566
2024-11-18,Movie ticket,-2847
2024-12-26,Mobile recharge,-1909
2025-01-21,Clothing store,-2367
2025-01-10,House rent,-12991
2025-01-20,Ola trip,-247
2025-01-20,Salary credit,26145
2024-12-28,Cafe coffee,-2507
2025-01-28,Uber ride,-813
2024-12-19,Netflix subscription,-589
2025-02-19,Swiggy order,-2771
2025-02-16,Mobile recharge,-1332
2024-12-22,Electricity bill,-2386
2025-02-17,Electricity bill,-963
2024-12-23,Movie ticket,-1657
2024-11-01,Restaurant dinner,-2209
2025-02-16,Freelance payment,31154
2025-02-18,Freelance payment,58558
2025-01-30,Clothing store,-2261
2025-02-26,Uber ride,-2296
2025-02-03,Amazon purchase,-903
2024-11-10,House rent,-12762
2025-02-07,Uber ride,-2831
2024-12-27,House rent,-14116
2024-11-30,Petrol pump,-2422
2025-01-05,Amazon purchase,-1383
2024-12-02,Freelance payment,27822
2025-03-01,Restaurant dinner,-313
2024-12-19,Freelance payment,23755
2025-01-26,House rent,-8683
2024-11-19,Clothing store,-816
2025-01-07,Zomato lunch,-2929
2024-11-08,Amazon purchase,-2150
2024-12-24,Amazon purchase,-1997
2024-12-13,Concert pass,-1494
2024-12-24,Clothing store,-2718
2025-03-01,Swiggy order,-2376
2025-01-06,Flipkart order,-2101
2025-01-22,Clothing store,-1919
2025-02-10,Swiggy order,-323
2024-12-07,Restaurant dinner,-121
2024-11-03,Freelance payment,25589
2025-02-25,House rent,-11853
2024-12-07,Petrol pump,-2778
2024-12-27,House rent,-9917
2024-12-16,House rent,-10416
2025-01-31,Zomato lunch,-2259
2024-11-12,Internet bill,-2088
2024-12-20,Petrol pump,-546
2025-01-19,Restaurant dinner,-2859
2024-11-27,Swiggy order,-2573
2024-11-27,Concert pass,-1152
2025-02-22,Amazon purchase,-643
2025-02-12,Mobile recharge,-755
2025-02-19,Metro recharge,-1505
2025-02-13,House rent,-13054
2025-02-22,Restaurant dinner,-2004
2025-02-27,Mobile recharge,-2075
2024-11-27,Salary credit,55363
2025-02-16,Movie ticket,-2157
2025-01-30,Ola trip,-1816
2024-11-28,Freelance payment,20794
2025-01-20,Restaurant dinner,-2170
2024-11-24,Swiggy order,-635
2024-12-26,Zomato lunch,-1606
2024-12-25,Freelance payment,36129
2025-01-11,House rent,-14532
2024-11-26,Uber ride,-193
2024-11-20,House rent,-13266
2024-11-15,Cafe coffee,-797
2024-11-17,Flipkart order,-2679
2024-12-28,Mobile recharge,-2441
2024-12-10,Freelance payment,25272
2024-12-25,Netflix subscription,-977
2025-01-04,House rent,-9700
2024-11-01,Concert pass,-2108
2024-12-30,Salary credit,53205
2025-02-10,Flipkart order,-905
2024-12-06,Petrol pump,-253
2025-01-05,Water bill,-1590
2025-02-28,Netflix subscription,-1717
2024-11-21,Grocery shopping,-1063
2025-02-16,House rent,-11162
2025-02-05,Uber ride,-2660
2024-12-20,Grocery shopping,-683
